,age,latitude,longitude,genotype
751,8822,48.91,33.76,0
752,4743,48.91,33.76,0
753,7124,48.91,33.76,0
754,5960,49.71,37.58,0
755,4753,49.56,27.69,0
756,4752,49.56,27.69,0
757,4752,49.56,27.69,0
758,7622,42.02,25.6,0
759,6571,43.21,27.86,0
760,34795,50.26,4.28,0
761,27620,40.73,17.57,0
762,30010,48.53,16.39,0
763,30010,48.53,16.39,0
764,7815,42.93,-5.35,0
765,12750,32.65,35.07,0
766,8700,31.79,35.17,2
767,12750,32.65,35.07,0
768,9846,34.45,48.12,0
769,5776,40.3,29.57,2
770,6544,34.5,47.96,0
771,5826,34.5,47.96,0
772,5836,34.5,47.96,0
773,9202,31.99,35.98,0
774,4032,31.99,35.98,0
775,4345,31.99,35.98,0
776,9582,31.99,35.98,0
777,4800,50.16631,20.57661,0
778,4800,50.16631,20.57661,0
779,4800,50.16631,20.57661,2
780,4800,50.16631,20.57661,2
781,4800,50.16631,20.57661,0
782,4800,50.68212,21.75109,0
783,4800,50.26157,21.43088,2
784,4800,50.26157,21.43088,0
785,4800,50.26157,21.43088,0
786,4800,50.68212,21.75109,0
787,4800,52.229675,21.01223,0
788,3473,69.083333,36.366667,0
789,3473,69.083333,36.366667,0
790,3473,69.083333,36.366667,0
791,3473,69.083333,36.366667,0
792,3473,69.083333,36.366667,0
793,12185,41.99071,1.64049,0
794,7134,42.21351,-0.14179,2
795,7096,42.21351,-0.14179,0
796,5770,42.49671,0.50704,2
797,5806,42.49671,0.50704,0
798,15005,50.26,4.28,0
799,4116,42.419214,-3.484745,0
800,4384,42.419214,-3.484745,0
801,5903,42.93,-5.35,0
802,4900,41.4391,1.5733,0
803,4900,41.4391,1.5733,2
804,4900,41.4391,1.5733,0
805,4900,41.4391,1.5733,0
806,4900,41.4391,1.5733,0
807,7600,37.439437,-3.437567,0
808,5000,36.132004,-5.343773,0
809,5150,43.0866,-2.2154,2
810,5150,43.0866,-2.2154,0
811,5136,43.0866,-2.2154,0
812,4900,41.4391,1.5733,0
813,4900,41.4391,1.5733,0
814,4650,39.083333,-9.266667,0
815,5050,39.110833,-8.663583,0
816,5050,39.110833,-8.663583,0
817,4750,39.233333,-9.3,0
818,4650,39.083333,-9.266667,2
819,5000,42.63,-2.7,0
820,4896,42.57,-2.57,2
821,4896,42.57,-2.57,0
822,4409,42.57,-2.62,0
823,4896,42.57,-2.57,2
824,4925,42.57,-2.57,0
825,4946,38.387,-7.55,0
826,4050,38.5781,-2.8417,0
827,4915,41.2916,1.0638,0
828,5131,37.196772,-8.588546,0
829,5050,39.624062,-9.047189,0
830,4899,38.387,-7.55,0
831,5950,36.445,-6.21,0
832,5950,36.445,-6.21,0
833,5350,38.7025,-0.48631,0
834,5540,38.7025,-0.48631,0
835,5150,43.085823,-2.251197,0
836,5150,43.085823,-2.251197,0
837,5150,43.085823,-2.251197,0
838,5150,43.085823,-2.251197,0
839,5150,43.085823,-2.251197,0
840,4784,38.7025,-0.48631,0
841,5785,38.7025,-0.48631,0
842,5620,38.7025,-0.48631,0
843,5950,36.445,-6.21,0
844,4650,37.24,-4.24,0
845,4650,37.24,-4.24,0
846,4650,37.24,-4.24,0
847,4588,37.24,-4.24,0
848,4588,37.24,-4.24,0
849,5376,38.762271,-0.586981,0
850,3898,37.1366,-3.5483,0
851,7051,51.89,11.04,0
852,6977,51.89,11.04,0
853,7037,51.89,11.04,0
854,45000,57.43,71.1,0
855,14500,34.810556,-2.408333,0
856,14470,34.810556,-2.408333,0
857,14605,34.810556,-2.408333,0
858,14500,34.810556,-2.408333,0
859,14357,34.810556,-2.408333,0
860,7115,43.3550277,-4.7166763,0
861,9131,42.7343714,-7.0305368,0
862,5377,46.787724,23.520877,0
863,8814,44.63,22.61,0
864,8814,44.63,22.61,0
865,5330,40.866667,43.716667,0
866,5148,40.866667,43.716667,2
867,5272,45.68833,43.26458,0
868,5456,45.68833,43.26458,0
869,4674,44.023591,42.818456,0
870,4726,44.031853,43.129956,0
871,6478,44.451315,40.102863,0
872,5200,44.385019,40.394588,0
873,5438,44.385019,40.394588,0
874,5200,44.385019,40.394588,0
875,5207,45.685404,42.921448,0
876,4037,43.826337,42.716199,0
877,4057,43.826337,42.716199,0
878,3824,43.354032,43.721893,0
879,3735,43.354032,43.721893,0
880,4672,44.05336,43.21034,0
881,4477,43.925355,43.530317,0
882,5142,43.905354,43.521883,0
883,5171,43.905354,43.521883,0
884,4710,43.905354,43.521883,0
885,3971,44.73486,41.938749,0
886,5570,43.084417,44.632667,0
887,6207,43.822691,43.350278,0
888,4363,43.822691,43.350278,0
889,6090,43.822691,43.350278,0
890,4726,45.537249,41.116544,0
891,4751,45.537249,41.116544,0
892,4277,45.535978,41.059517,0
893,4610,45.535978,41.059517,0
894,5444,45.725651,43.986933,0
895,5126,45.05,39.91,0
896,4293,45.725651,43.986933,0
897,5171,45.725651,43.986933,0
898,5180,45.725651,43.986933,0
899,5174,45.05,39.91,0
900,5174,45.05,39.91,2
901,4850,42.179802,48.066089,2
902,6242,44.019962,43.155538,0
903,4850,45.659025,42.60675,0
904,15308,37.48,33.03333,0
905,10000,37.75,32.86,0
906,10000,37.75,32.86,0
907,10000,37.75,32.86,0
908,5715,51.324706,-2.753248,0
909,5540,51.324706,-2.753248,0
910,10555,51.324706,-2.753248,0
911,4755,53.114647,-4.130208,0
912,5777,51.843407,-1.850443,0
913,5539,53.079803,-1.640942,0
914,5557,53.079803,-1.640942,2
915,10245,51.281679,-2.765746,0
916,5480,51.321578,0.372682,0
917,5100,57.907315,-3.996827,0
918,5700,51.091224,-1.72751,0
919,5536,54.074439,-2.287284,0
920,9349,51.63253,-4.692903,0
921,5650,56.414567,-5.469178,0
922,5650,56.414567,-5.469178,0
